Newtest
e;False;0;0;
z;False;0;0;
fifth
CARICATURAIT,REVIGORAIENT,SECTORISERAIT,LANCINAIT,EGAYERAIT,DIVERGIONS,USURPERIONS,RAGERAS,GRUGER,MISSEL,ZEES,GENE,MALLE,IDE
Y;F;R;C;B;S;Q;L;W;I;Q;T;D;W
Z;U;E;X;B;A;Q;A;E;G;W;N;I;S
E;E;G;B;L;R;S;N;U;E;G;E;V;L
D;G;U;Y;E;E;R;C;F;N;B;I;E;E
I;A;R;Z;S;G;C;I;R;E;X;A;R;M
G;Y;G;E;S;A;S;N;W;G;S;R;G;R
H;E;K;E;I;R;E;A;E;V;E;O;I;W
L;R;H;S;M;C;Z;I;K;C;L;G;O;V
H;A;S;A;Q;N;E;T;T;Y;L;I;N;Q
S;I;O;N;L;J;E;X;J;K;A;V;S;C
E;T;L;R;E;L;U;N;K;R;M;E;S;X
U;S;U;R;P;E;R;I;O;N;S;R;B;Q
T;I;A;R;E;S;I;R;O;T;C;E;S;W
C;A;R;I;C;A;T;U;R;A;I;T;R;M
