Tom
Levi;False;29;0;ELAGUERA,RIZ,LESTES,AMINCIE,SAUCE
Momo;False;14;0;VIVOTONS,TORDES
fifth
REBOUCHERAIS,FREQUENTATION,AGENOUILLIONS,NICHERIEZ,RENFERMER,ACOUSTIQUES,DISSUADEES,TRAIRA,OSCARS,RACORNIE,CLE,SITE,RUEE,AIMA
J;R;U;E;E;X;L;Q;Z;F;G;C;E;C
N;H;G;B;D;A;B;K;S;V;Z;L;H;Q
D;I;S;S;U;A;D;E;E;S;C;H;I;Y
I;T;A;C;O;U;S;T;I;Q;U;E;S;Z
N;O;I;T;A;T;N;E;U;Q;E;R;F;H
M;B;O;S;C;A;R;S;S;V;I;H;V;O
X;R;E;M;R;E;F;N;E;R;N;H;W;S
P;G;I;Z;E;I;R;E;H;C;I;N;S;I
C;E;I;N;R;O;C;A;R;E;H;U;V;T
Y;U;B;O;U;L;B;K;I;B;E;A;L;E
J;S;N;O;I;L;L;I;U;O;N;E;G;A
S;I;A;R;E;H;C;U;O;B;E;R;Q;X
I;G;A;M;I;A;J;U;X;I;F;P;P;L
A;R;I;A;R;T;P;B;O;B;B;L;L;F
