GameTest1
martin;False;51;0;ASSORTI,PANIQUIEZ,EMPOIS,LANGUE,CLOUERA,OBI,LEKS,ARROGEANT
sophie;False;39;0;,ATTISES,DECOMPTA,FETIDE,DEFI,AZOBE,ATAVISMES
fifth
LEGISLATURES,CHEVAUCHEREZ,ENSEIGNAIENT,DISPERSENT,JETTERONT,GLISSERONS,DEMENAGEES,INTERDIT,OVARIEN,LUSTREZ,COR,LIE,AMYLE,VOUER
X;W;L;C;O;L;U;S;T;R;E;Z;T;Z
R;B;S;H;O;N;E;I;R;A;V;O;E;S
E;R;N;E;F;U;A;P;X;D;Y;T;I;E
U;T;O;V;N;P;V;N;H;W;N;F;T;R
O;N;R;A;P;S;V;O;Y;E;M;N;J;U
V;A;E;U;K;H;O;T;I;C;E;I;E;T
U;E;S;C;N;Y;C;A;O;S;N;D;T;A
S;N;S;H;B;F;N;R;R;T;G;Z;T;L
O;K;I;E;Q;G;C;E;E;E;I;L;E;S
B;E;L;R;I;F;P;R;E;M;W;R;R;I
U;L;G;E;Y;S;D;Y;L;I;Z;C;O;G
I;F;S;Z;I;I;P;G;Y;V;M;Z;N;E
L;N;U;D;T;P;C;I;M;W;K;C;T;L
E;V;D;E;M;E;N;A;A;E;E;S;D;V
